Model,Accuracy,Precision,Recall,F1-Score
CNN Base,0.2484076433121019,0.2972728476236707,0.2484076433121019,0.2518962303227821
MobileNetV2,0.6305732484076433,0.6493898882433914,0.6305732484076433,0.6090791237390786
ResNet50,0.29936305732484075,0.27068612364792427,0.29936305732484075,0.21285468472594657
